Mixture	Endothelial	CAFs	PVL	B-cells	T-cells	Myeloid	Normal Epithelial	Plasmablasts	Cancer Epithelial	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-AC-A62X	0.619432538420823	0.114009788683667	0.580605483478847	0	0	0	4.31896246310564	0.238215999383502	2.30387299768081	0	0.414822116505343	0.924160826152849	8.17509927075328
TCGA-AC-A6IW	0.313799697515739	0.107585427027224	0.255269704390456	0	0.0592683432634666	2.59080469802227	2.86975772259693	0	1.09103407115124	0	0.483155073555809	0.87940670521052	7.28751966396733
TCGA-AC-A7VC	2.61664209013152	6.4315263705477	4.8339975831634	0	0	0.315680199218345	0	0.90585206887373	0	0	0.328671692802964	1.15954066450932	15.1036983119347
TCGA-AC-A8OQ	1.1513252976132	1.92776395470699	0.749557784684043	0	0	0.821706299684669	1.07385499027171	2.21081418970681	0.457508299503385	0	0.398864888937107	0.928642761227971	8.39253081617079
TCGA-AN-A04D	0.477982911168765	0.100818507073284	0.190834561720401	0	0	0	3.52775412839657	0.201878929945999	1.8241111631499	0	0.455313030233485	0.899933023464411	6.32338020145492
TCGA-AN-A0AL	1.16094431069417	2.83437936640752	0.640512732932232	0.208011623463794	0	0.319085111026907	1.9864668568706	0.909779559420139	1.40955509363814	0	0.417271832829057	0.935143287748336	9.4687346544535
TCGA-AN-A0AR	0.231129333835817	0.208193782097111	0.462723871981909	0.00460769361138425	0	0.157372846864343	3.907995926782	0	1.79647295298021	0	0.567327353075037	0.824231708024924	6.76849640815278
TCGA-AN-A0AT	0.443760994938583	0.942761042264046	0.432372237313016	0	0.0155733971007164	0.588953823997025	1.89693861898085	0.199640856434005	2.27678040290097	0	0.287876007676738	0.987178769778088	6.79678137392921
TCGA-AN-A0FJ	1.01496892082964	1.38254150570116	0.665656406265546	0	0	0.0250698000930442	2.76539909833287	0	1.7371571688494	0	0.350386411444587	0.969072120274972	7.59079290007165
TCGA-AN-A0FL	0.981808418464829	0.0966197789593797	0.4741043353805	0	0	0.0704559752564342	4.04081847217922	1.06810120460888	1.06472943041397	0	0.401732939718936	0.925096704496113	7.79663761526321
TCGA-AN-A0FX	1.18379758827303	1.95252803997691	0.820560684448247	0	0	0	3.5661694597727	0.114896410397682	0.818861043371847	0	0.467862774184649	0.904559549199341	8.45681322624043
TCGA-AN-A0XU	0.51412876972039	0.638752144656777	0.329269445421297	0	0	0.570565574030618	2.81567416465488	0.948348599294347	1.72950331672201	0	0.281162261952132	0.980047716714696	7.54624201450032
TCGA-AO-A0J4	1.2688631717408	1.21329378492993	1.36585526535144	0.168950360081003	0	0.215195468919005	3.46088252438152	0.318822242223938	0.794389228158271	0	0.345545071620682	0.970215699499179	8.80625204578591
TCGA-AO-A0J6	0.252006631581109	0.325779643177441	0.0832272153286559	0	0.248955820350413	0.566890023407152	3.80142741363749	0.155867026526072	2.08513522800982	0	0.467675496835218	0.887302877725906	7.51928900201815
TCGA-AO-A124	0.250502555169568	0.133962005972264	0.551641445334544	0	0	0.10504713316128	3.67112804498521	0	2.74850788920902	0	0.311689542254437	0.988599017944642	7.46078907383188
TCGA-AO-A128	0.479268014288751	0.481648853491205	0	0	1.40248313299414	4.44791527205047	0.216787145529274	0.673312476265213	0.526803008500019	0	0.260642920801108	1.04353094035598	8.22821790311908
TCGA-AO-A129	0.582219161321614	1.18523113704553	0.632989490999003	0	0	0.774847574625324	1.57591522209982	0.824110562374901	1.8386567111722	0	0.435518179259912	0.90291711563795	7.41396985963839
TCGA-AO-A12F	1.8150399849774	1.72455002307931	1.12219736735958	0	0	0	2.02201384401728	0	1.21780054102824	0	0.489479000802669	0.88777187960491	7.90160176046182
TCGA-AO-A1KR	0.361254626296761	0.142746774033421	0.251774758207322	0	0.0999795162630552	0.0347552586769477	3.29232417500579	0.200151251991709	2.20098742038325	0	0.623001481823803	0.78424730930112	6.58397378085825
TCGA-AQ-A04J	1.66383207044396	1.55906943879767	0.827153983346324	0.34307570968149	0.0393746140009437	0.204528352312665	2.72078706745721	0.130039240338222	1.06989649610881	0	0.487750221884804	0.877697007070898	8.5577569724873
TCGA-AR-A0TP	0.973233179017114	0.0916592396174863	1.73597508966445	0	0	0	4.19406879292445	0.670770053702933	1.0532369934435	0	0.348799347668262	0.966748738127896	8.71894334836994
TCGA-AR-A0TS	1.37208237806066	2.3918656450434	0.413639415180702	1.33163102885989	0.0397106067456019	0.441141153369985	1.55071153850455	0.302879040500777	0.474766648077475	0	0.359107174363699	0.964674113716526	8.31842745434304
TCGA-AR-A0U0	0.50235146563303	0.487067460412353	0.208692670678855	0	0.0155896586152653	1.0619379286694	1.70314633742109	1.20005768115025	1.77391289557391	0	0.248420965891441	0.985652901326172	6.95275609815416
TCGA-AR-A0U4	0.713380916846172	1.35108453738567	0.426610801482255	0	0.227239193082567	2.57729068118456	1.83310773270375	0.238384167779494	1.0842647057464	0	0.23883721112139	1.02066505796792	8.45136273621087
TCGA-AR-A1AH	0.312153125522683	1.0249116042129	0.31168368800801	0	0	0	2.82203773747483	0.00579964153574822	2.13146093557047	0	0.35104075547759	0.967884272821011	6.60804673232465
TCGA-AR-A1AI	0.103826047371418	0.336747016357564	0.0982891030050703	0	0.232790825862373	0.826904599817184	2.84788316558833	1.12999591711103	1.66468913696185	0	0.340632554024111	0.948147034916743	7.24112581207482
TCGA-AR-A1AJ	1.01156606628582	2.57683210130553	0	0	0.433759118793583	2.62082884239563	0.689927756299584	0.166456974820708	0.863607882379607	0	0.349742690628266	0.991664578038746	8.36297874228046
TCGA-AR-A1AQ	0.253430294659043	1.13041738470117	0.187726211188644	0	0.0522488510085049	0.980175352810576	2.08017473657501	1.36652223096083	1.27315802440842	0	0.489300899294698	0.872116069474259	7.3238530863122
TCGA-AR-A1AR	1.77424503954594	2.5493879529832	0	0	0	1.22834698461566	1.43919530878677	0	1.18157325038696	0	0.371402555102723	0.973021608553211	8.17274853631852
TCGA-AR-A1AY	0.352726370094524	1.4335017998579	0.329660291072203	0	0	0.062994002064319	3.18496794903109	0	2.41396181020115	0	0.290621713568972	1.00720355534066	7.77781222232119
TCGA-AR-A24Q	1.03035610379275	2.81224045226831	1.58152568235827	0	0	0.157957987453786	1.34380376843755	0.931268240382444	1.46958206425627	0	0.373880379341201	0.983040283055295	9.32673429894938
